"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184924","occ","30185","","18126","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"186878","occ","","","18359","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510"
"188816","occ","","","18737","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","2596"
"188870","occ","","","18745","Canis ferox","species","44840","Hemphillian","","10.3","4.9","2596"
"192135","occ","30184","","19473","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"192926","occ","8376","","19617","Canis edwardii","species","44838","Blancan","Irvingtonian","4.9","0.3","2673"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","Blancan","Irvingtonian","4.9","0.3","52058"
"192928","occ","","","19617","Canis latrans","species","44854","Blancan","Irvingtonian","4.9","0.3","1813"
"193271","occ","8462","","19656","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193272","occ","30218","","19656","Canis thooides","species","301914","Blancan","","4.9","1.8","52058"
"193288","occ","8467","","19657","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193323","occ","8475","","19658","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193373","occ","8495","","19668","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"193775","occ","","","19758","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3567"
"193898","occ","","","19805","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193901","occ","","","19807","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193916","occ","","","19812","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193936","occ","","","19815","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193942","occ","","","19816","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193957","occ","","","19819","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193965","occ","","","19821","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193985","occ","30190","","19832","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"193989","occ","30189","","19836","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"193992","occ","","","19839","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194001","occ","","","19847","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194012","occ","","","19854","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194033","occ","30188","","19868","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194047","occ","","","19879","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194056","occ","","","19888","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194070","occ","","","19895","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194077","occ","30187","","19902","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194090","occ","","","19903","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194115","occ","30191","","19906","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194251","occ","","","19927","Canis latrans","species","44854","Blancan","","4.9","1.8","24906"
"194285","occ","8765","","19929","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"194362","occ","","","19932","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1905"
"194379","occ","","","19934","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1894"
"194409","occ","30186","","19936","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194480","occ","","","19940","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1070"
"194652","occ","","","19955","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"194677","occ","30192","","19959","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194686","occ","30193","","19960","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194695","occ","","","19962","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3512"
"194719","occ","","","19963","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2518"
"194765","occ","","","19965","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2886"
"194814","occ","","","19973","Canis latrans","species","44854","Blancan","","4.9","1.8","3378"
"194838","occ","","","19981","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2618"
"194983","occ","","","20023","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1309"
"195063","occ","","","20033","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2044"
"195093","occ","","","20034","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"195134","occ","30194","","20050","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195215","occ","30195","","20060","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195263","occ","","","20062","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3382"
"195346","occ","9025","","20074","Canis edwardii","species","44838","Blancan","","4.9","1.8","2673"
"195542","occ","","","20112","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195581","occ","9093","","20115","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195614","occ","","","20117","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195688","occ","","","20120","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195689","occ","9122","","20120","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195719","occ","9130","","20121","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195741","occ","","","20122","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195865","occ","","","20126","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195887","occ","","","20127","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195926","occ","","","20129","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195938","occ","","","20130","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195952","occ","","","20134","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195966","occ","","","20137","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3081"
"196022","occ","","","20143","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2419"
"196053","occ","9189","","20148","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"196067","occ","","","20150","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"196068","occ","9195","","20150","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949"
"196115","occ","","","20157","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3211"
"196213","occ","","","20166","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3081"
"196265","occ","","","20173","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196301","occ","9235","","20178","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294"
"196351","occ","","","20187","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196652","occ","","","20273","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2016"
"196653","occ","","","20273","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2016"
"196697","occ","","","20280","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1817"
"196730","occ","","","20283","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2607"
"196731","occ","","","20283","Canis cedazoensis","species","44831","Irvingtonian","","1.8","0.3","2607"
"196732","occ","","","20283","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2607"
"196759","occ","","","20285","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1482"
"196760","occ","","","20285","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1482"
"196816","occ","9332","","20289","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2673"
"196842","occ","","","20290","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"196843","occ","30223","","20290","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058"
"196901","occ","","","20293","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1462"
"196932","occ","9371","","20295","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","6294"
"196933","occ","","","20295","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1907"
"196953","occ","9378","","20297","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673"
"196982","occ","","","20299","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197002","occ","9385","","20301","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"197033","occ","","","20302","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1628"
"197034","occ","9393","","20302","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"197092","occ","","","20303","Canis edwardii","species","44838","Blancan","","4.9","1.8","2252"
"197140","occ","","","20308","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197268","occ","","","20319","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887"
"197294","occ","30196","","20322","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"197327","occ","","","20323","Canis latrans","species","44854","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"197352","occ","30220","","20327","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058"
"197353","occ","30230","","20327","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197378","occ","","","20329","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","949"
"197379","occ","","","20329","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949"
"197401","occ","","","20334","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197441","occ","9471","","20342","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1319"
"197442","occ","9472","","20342","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1319"
"197489","occ","9491","","20346","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673"
"197498","occ","","","20347","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1916"
"197499","occ","30221","","20347","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058"
"197571","occ","","","20351","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615"
"197572","occ","","","20351","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197731","occ","30226","","20376","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197794","occ","","","20384","Canis edwardii","species","44838","Blancan","","4.9","1.8","3580"
"197859","occ","30228","","20387","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197860","occ","9581","","20387","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294"
"197978","occ","","","20398","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2611"
"197990","occ","","","20400","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","1960"
"197991","occ","","","20400","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960"
"198018","occ","","","20401","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960"
"198116","occ","","","20415","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615"
"198145","occ","","","20419","Canis dirus","species","44837","Irvingtonian","Rancholabrean","1.8","0.012","2193"
"198253","occ","","","20434","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2048"
"198363","occ","","","20454","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2725"
"198476","occ","","","20477","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"198513","occ","30224","","20479","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058"
"198606","occ","","","20491","Canis latrans","species","44854","Rancholabrean","","0.3","0.012","3580"
"198607","occ","","","20491","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","3580"
"198649","occ","","","20494","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"198672","occ","9737","","20498","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","3083"
"198673","occ","9738","","20498","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3083"
"198688","occ","","","20499","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"198698","occ","30227","","20500","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"198736","occ","","","20503","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2549"
"198767","occ","","","20506","Canis rufus","species","44879","Irvingtonian","","1.8","0.3","2940"
"198814","occ","","","20514","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2940"
"198872","occ","","","20520","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3567"
"198920","occ","","","20528","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887"
"198940","occ","","","20530","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1304"
"198941","occ","9783","","20530","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","6202"
"198987","occ","30219","","20536","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","52058"
"199068","occ","","","20556","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2896"
"199069","occ","","","20556","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2896"
"199085","occ","","","20558","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1794"
"199126","occ","","","20559","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"199180","occ","","","20567","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3799"
"199204","occ","","","20569","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","6225"
"199205","occ","","","20569","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1936"
"199271","occ","","","20572","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199309","occ","","","20573","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3580"
"199337","occ","","","20580","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2673"
"199393","occ","","","20590","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785"
"199413","occ","30225","","20593","Canis armbrusteri","species","44827","Late Pleistocene","","0.126","0.0117","52058"
"199428","occ","","","20594","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199486","occ","","","20600","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2727"
"199487","occ","","","20600","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","3498"
"199488","occ","","","20600","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2727"
"199610","occ","","","20612","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2501"
"199643","occ","","","20615","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1200"
"199670","occ","","","20617","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1766"
"199686","occ","","","20619","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1793"
"199687","occ","","","20619","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1793"
"199724","occ","","","20624","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2588"
"199750","occ","9905","","20626","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785"
"199768","occ","","","20628","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018"
"199827","occ","","","20635","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3182"
"199837","occ","","","20636","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199867","occ","","","20638","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199884","occ","","","20639","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2588"
"199912","occ","","","20641","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2589"
"199913","occ","","","20641","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2589"
"199934","occ","","","20642","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"199935","occ","","","20642","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018"
"199948","occ","","","20644","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"199960","occ","","","20646","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"200019","occ","","","20653","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3567"
"212037","occ","","","21294","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454"
"212321","occ","","","21377","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4469"
"212356","occ","","","21399","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4488"
"213110","occ","","","21690","Canis mesomelas","species","232943","Holocene","","0.0117","0","4792"
"213111","occ","","","21690","Canis adustus","species","232942","Holocene","","0.0117","0","4792"
"213140","occ","","","21690","Canis aureus","species","104156","Holocene","","0.0117","0","4792"
"213251","occ","","","21693","Canis mesomelas","species","232943","Holocene","","0.0117","0","4805"
"213252","occ","","","21693","Canis adustus","species","232942","Holocene","","0.0117","0","4805"
"213350","occ","","","21783","Canis mesomelas","species","232943","Piacenzian","","3.6","2.588","4847"
"213605","occ","","","21856","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5211"
"213635","occ","","","21857","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212"
"213641","occ","","","21857","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212"
"213661","occ","","","21859","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212"
"213669","occ","","","21859","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212"
"213744","occ","","","21886","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5209"
"213948","occ","","","21907","Canis aureus","species","104156","Holocene","","0.0117","0","5221"
"214181","occ","","","21953","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5252"
"214225","occ","","","21961","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","5261"
"218780","occ","","","22340","Canis mesomelas","species","232943","Late Pliocene","","3.6","2.588","4932"
"219129","occ","","","22489","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5619"
"219803","occ","","","22596","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","5276"
"219873","occ","","","22628","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","5653"
"220484","occ","","","21877","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5221"
"220528","occ","","","21894","Canis familiaris","species","104153","Holocene","","0.0117","0","5210"
"220617","occ","","","21897","Canis mesomelas","species","232943","Holocene","","0.0117","0","5214"
"220690","occ","","","21915","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5214"
"220707","occ","","","21916","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5235"
"220761","occ","","","21918","Canis mesomelas","species","232943","Holocene","","0.0117","0","5234"
"220800","occ","","","21931","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5241"
"220896","occ","","","21948","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5246"
"220973","occ","","","21950","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5249"
"221007","occ","","","21951","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5250"
"221048","occ","","","21954","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5232"
"221315","occ","","","21276","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221316","occ","","","21276","Canis adustus","species","232942","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221353","occ","","","21277","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221548","occ","","","21296","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454"
"221577","occ","","","21302","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","4454"
"224495","occ","","","21791","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4867"
"225019","occ","","","21824","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896"
"225040","occ","","","21824","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896"
"225084","occ","","","21825","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892"
"225106","occ","","","21825","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892"
"225172","occ","","","21826","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4868"
"225190","occ","","","21827","Canis mesomelas","species","232943","Pliocene","","5.333","2.588","4895"
"225238","occ","","","21828","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4888"
"225303","occ","","","21829","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4895"
"225604","occ","","","21865","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5217"
"225779","occ","","","21924","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5237"
"225845","occ","","","21929","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5238"
"226004","occ","","","21952","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5251"
"226061","occ","","","21956","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5255"
"226177","occ","","","21960","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","5260"
"226230","occ","","","21963","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5266"
"226231","occ","","","21963","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","5266"
"228087","occ","","","22334","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4885"
"228331","occ","","","22340","Canis adustus","species","232942","Late Pliocene","","3.6","2.588","4932"
"339309","occ","","","32051","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","10211"
"339335","occ","","","32052","Canis aureus","species","104156","Late Pliocene","","3.6","2.588","5595"
"358468","occ","11022","","34102","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946"
"358553","occ","11023","","34104","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946"
"361746","occ","13597","","34269","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","14678"
"361891","occ","","","34287","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013"
"362182","occ","","","34329","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013"
"362197","occ","","","34330","Canis adustus","species","232942","Middle Pleistocene","","0.781","0.126","9013"
